"user_id","email","created_date","browser","shipping_address"
"1","wilhelmine_quo@hotmail.com","2023-02-09 01:29:31","chrome","{""city"": ""Swaniawski mouth"", ""country"": ""BG"", ""street_name"": ""Ophelia Mills"", ""street_number"": 122, ""zip_code"": ""6612""}"
"2","augustus_incidunt@yahoo.com","2023-02-09 01:35:49","chrome","{""city"": ""Cremin town"", ""country"": ""TO"", ""street_name"": ""White Meadow"", ""street_number"": 107, ""zip_code"": ""496""}"
"3","eldora_aut@hotmail.com","2023-02-09 01:39:33","edge","{""city"": ""Watson shire"", ""country"": ""AE"", ""street_name"": ""Klocko Gardens"", ""street_number"": 116, ""zip_code"": ""73421""}"
"4","eldora117@hotmail.com","2023-02-09 02:53:32","chrome","{""city"": ""West Naomi Torp view"", ""country"": ""SG"", ""street_name"": ""Kylie Ranch"", ""street_number"": 139, ""zip_code"": ""86687""}"
"5","eda_placeat@hotmail.com","2023-02-09 03:26:12","chrome","{""city"": ""Lake Santiago Kunze town"", ""country"": ""JO"", ""street_name"": ""Harvey Meadows"", ""street_number"": 160, ""zip_code"": ""534""}"
"6","jarvis_repellat@gmail.com","2023-02-09 04:38:25","chrome","{""city"": ""Zulauf land"", ""country"": ""FK"", ""street_name"": ""Moore Route"", ""street_number"": 59, ""zip_code"": ""48119""}"
"7","marcos_aut@hotmail.com","2023-02-09 04:39:34","safari","{""city"": ""Bartoletti land"", ""country"": ""AF"", ""street_name"": ""Lawson Curve"", ""street_number"": 47, ""zip_code"": ""817""}"
"8","hilda_eveniet@yahoo.com","2023-02-09 04:48:21","chrome","{""city"": ""Jacobi stad"", ""country"": ""BL"", ""street_name"": ""Gerhard Motorway"", ""street_number"": 57, ""zip_code"": ""056""}"
"9","kiara_eum@hotmail.com","2023-02-09 05:13:12","safari","{""city"": ""Aleen fort"", ""country"": ""ML"", ""street_name"": ""Carmelo Junctions"", ""street_number"": 22, ""zip_code"": ""4478""}"
"10","patsy_amet@yahoo.com","2023-02-09 05:20:39","chrome","{""city"": ""Hazle side"", ""country"": ""RS"", ""street_name"": ""Konopelski Ports"", ""street_number"": 183, ""zip_code"": ""3885""}"
"11","howell_similique@gmail.com","2023-02-09 05:30:15","chrome","{""city"": ""Susan land"", ""country"": ""IR"", ""street_name"": ""Kunde Ranch"", ""street_number"": 172, ""zip_code"": ""897""}"
"12","lemuel_at@gmail.com","2023-02-09 05:50:08","safari","{""city"": ""West Geovany OConnell mouth"", ""country"": ""SJ"", ""street_name"": ""Fadel Course"", ""street_number"": 119, ""zip_code"": ""92733""}"
"13","leilani_rerum@yahoo.com","2023-02-09 06:01:01","edge","{""city"": ""Tremblay mouth"", ""country"": ""GG"", ""street_name"": ""Sheila Corners"", ""street_number"": 149, ""zip_code"": ""566""}"
"14","marcos_maxime@gmail.com","2023-02-09 06:05:42","firefox","{""city"": ""Hartmann furt"", ""country"": ""TG"", ""street_name"": ""Althea Drive"", ""street_number"": 155, ""zip_code"": ""3523""}"
"15","emely_facere@yahoo.com","2023-02-09 06:39:50","edge","{""city"": ""Weissnat fort"", ""country"": ""GB"", ""street_name"": ""Judge Inlet"", ""street_number"": 1, ""zip_code"": ""5696""}"
"16","aylin_sint@yahoo.com","2023-02-09 06:53:52","chrome","{""city"": ""South Maximillian Graham bury"", ""country"": ""LK"", ""street_name"": ""Celestine Loaf"", ""street_number"": 105, ""zip_code"": ""9726""}"
"17","madeline_iste@yahoo.com","2023-02-09 08:02:40","safari","{""city"": ""Beer port"", ""country"": ""PR"", ""street_name"": ""Madge Terrace"", ""street_number"": 112, ""zip_code"": ""6599""}"
"18","eunice_dicta@yahoo.com","2023-02-09 08:02:43","edge","{""city"": ""Klein side"", ""country"": ""SN"", ""street_name"": ""Beer Mission"", ""street_number"": 91, ""zip_code"": ""683""}"
"19","angelica_blanditiis@hotmail.com","2023-02-09 08:13:14","safari","{""city"": ""Stark borough"", ""country"": ""KN"", ""street_name"": ""Haylie Ridge"", ""street_number"": 98, ""zip_code"": ""656""}"
"20","elenor_culpa@gmail.com","2023-02-09 08:18:00","chrome","{""city"": ""Mraz berg"", ""country"": ""BB"", ""street_name"": ""Hodkiewicz River"", ""street_number"": 176, ""zip_code"": ""738""}"
"21","anibal_temporibus@hotmail.com","2023-02-09 08:35:21","safari","{""city"": ""Jacobson view"", ""country"": ""CX"", ""street_name"": ""Considine Parks"", ""street_number"": 170, ""zip_code"": ""0443""}"
"22","jacinto_quidem@gmail.com","2023-02-09 08:38:27","edge","{""city"": ""Bogan view"", ""country"": ""US"", ""street_name"": ""Schoen Lake"", ""street_number"": 21, ""zip_code"": ""1816""}"
"23","forest_minima@hotmail.com","2023-02-09 08:39:32","chrome","{""city"": ""Huel mouth"", ""country"": ""KY"", ""street_name"": ""Harold Shoals"", ""street_number"": 159, ""zip_code"": ""7944""}"
"24","virgie_maiores@gmail.com","2023-02-09 08:42:52","edge","{""city"": ""Judy shire"", ""country"": ""PL"", ""street_name"": ""Wisozk Hollow"", ""street_number"": 191, ""zip_code"": ""79820""}"
"25","sydnee_voluptatem@hotmail.com","2023-02-09 08:49:49","safari","{""city"": ""South Kaia Zieme chester"", ""country"": ""CW"", ""street_name"": ""Sebastian Estates"", ""street_number"": 193, ""zip_code"": ""3361""}"
"26","donny_quia@gmail.com","2023-02-09 08:55:58","chrome","{""city"": ""Hickle ton"", ""country"": ""DO"", ""street_name"": ""Ernestina Valleys"", ""street_number"": 19, ""zip_code"": ""461""}"
