user_id,email,created_date,browser,shipping_address
1,bradford_aspernatur@hotmail.com,2022-01-01 07:40:22,chrome,"{'city': 'Bergnaum fort', 'country': 'CK', 'street_name': 'Robbie Drive', 'street_number': 88, 'zip_code': '30240'}"
2,loma_optio@yahoo.com,2022-01-01 09:53:49,chrome,"{'city': 'East Carlie Feeney berg', 'country': 'VE', 'street_name': 'Eula Street', 'street_number': 32, 'zip_code': '827'}"
3,tyrell_qui@yahoo.com,2022-01-01 12:42:02,safari,"{'city': 'Gutkowski side', 'country': 'TC', 'street_name': 'Turcotte Lodge', 'street_number': 112, 'zip_code': '00639'}"
4,bill_rem@yahoo.com,2022-01-01 23:39:30,safari,"{'city': 'Shane fort', 'country': 'KN', 'street_name': 'Gibson Mills', 'street_number': 100, 'zip_code': '8815'}"
5,claudine_rem@gmail.com,2022-01-02 00:12:49,safari,"{'city': 'Carroll borough', 'country': 'VC', 'street_name': 'Lindgren Mill', 'street_number': 9, 'zip_code': '2445'}"
6,armando_praesentium@yahoo.com,2022-01-02 12:38:35,safari,"{'city': 'Leora burgh', 'country': 'UY', 'street_name': 'Bailee Road', 'street_number': 153, 'zip_code': '419'}"
7,leslie_illo@yahoo.com,2022-01-02 15:21:55,chrome,"{'city': 'East Tierra Nienow port', 'country': 'LB', 'street_name': 'Merritt Stravenue', 'street_number': 97, 'zip_code': '34532'}"
8,lora_enim@hotmail.com,2022-01-02 19:48:25,firefox,"{'city': 'Cummerata burgh', 'country': 'DJ', 'street_name': 'Bruen Orchard', 'street_number': 107, 'zip_code': '086'}"
9,jules_sunt@gmail.com,2022-01-02 21:45:23,chrome,"{'city': 'Sawayn shire', 'country': 'NC', 'street_name': 'Quigley Curve', 'street_number': 96, 'zip_code': '611'}"
10,shannon_consequuntur@yahoo.com,2022-01-02 23:18:24,safari,"{'city': 'Klein port', 'country': 'NO', 'street_name': 'Adrianna Hollow', 'street_number': 182, 'zip_code': '543'}"
11,moshe_maiores@gmail.com,2022-01-03 01:58:20,chrome,"{'city': 'Swaniawski stad', 'country': 'PR', 'street_name': 'Sadie Valley', 'street_number': 181, 'zip_code': '8226'}"
12,laverna_et@gmail.com,2022-01-03 07:18:56,chrome,"{'city': 'Cormier town', 'country': 'MS', 'street_name': 'Bernier Roads', 'street_number': 134, 'zip_code': '798'}"
13,casper_corporis@hotmail.com,2022-01-03 08:13:21,safari,"{'city': 'Rhea haven', 'country': 'PT', 'street_name': 'Carmella Curve', 'street_number': 56, 'zip_code': '08972'}"
14,zachery_voluptatum@hotmail.com,2022-01-03 09:59:49,chrome,"{'city': 'West Verda Kozey shire', 'country': 'FJ', 'street_name': 'Helmer Parkways', 'street_number': 16, 'zip_code': '3491'}"
15,frances_voluptas@hotmail.com,2022-01-03 10:19:47,chrome,"{'city': 'Gerhold town', 'country': 'FO', 'street_name': 'Welch Ways', 'street_number': 35, 'zip_code': '3660'}"
